sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;ütemmutató;versszakok száma
293;Isten, hazánkért térdelünk;;;ének angyalokról és szentekről;1#;4/4;4
294;Ah, hol vagy;Szent István királyról;;ének angyalokról és szentekről;1#;3/4;3
295;Áldott szent István;Szent István királyról;;ének angyalokról és szentekről;2#;4/4;5
296;Magyarok fénye;Szent István királyról;;ének angyalokról és szentekről;3b;3/4;3
297;Igaz hitnek;Szent István királyról;;ének angyalokról és szentekről;3b;4/4;6
298;Ó dicsőséges szent Jobbkéz;A Szent Jobbról;;ének angyalokról és szentekről;2#;4/4;9
299;Szent Imre herceg;Szent Imre hercegről;;ének angyalokról és szentekről;2b;4/4;6
300;Felmutat égbe;Szent Gellért püspökről;;ének angyalokról és szentekről;3#;4/4;3
301;Drága hazám, te;Kapisztrán Szent Jánosról;;ének angyalokról és szentekről;3#;4/4;4
302;Sziklahitű László;Szent László királyról;;ének angyalokról és szentekről;-;4/4;4
303;Szent Erzsébet Asszony;Árpádházi Szent Erzsébetről;;ének angyalokról és szentekről;-;4/4;5
304;Pannóniában nőtt;Árpádházi Szent Margitról;;ének angyalokról és szentekről;-;4/4;6
305;Mért feledkezel el;Könyörgés Krisztus-Királyhoz;;ének Jézusról, ének különböző alkalmakra;1#;4/4;4
306;Isten, áldd meg a magyart;Magyar himnusz;;himnusz;2b;4/4;2
